Year,BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
1970,119,84,63,-6,10,88,663,8,5,47,1,0,0,0,0,0,0,0
1989,172,80,21,-7,36,68,377,1,4,62,1,0,0,0,0,0,0,0
2006,81,56,37,-11,97,42,224,75,5,54,0,0,0,0,0,0,0,1
1991,132,27,32,-11,17,15,302,58,4,56,1,0,0,0,0,0,0,0
1982,125,55,44,-10,18,49,251,13,4,43,0,0,0,0,0,0,0,1
1983,129,72,60,-8,8,56,308,50,4,43,1,0,0,0,0,0,0,0
1985,112,80,65,-12,10,54,251,35,5,80,1,0,0,0,0,0,0,0
2008,77,18,55,-11,11,9,212,89,3,73,0,1,0,0,0,0,0,0
1986,77,29,55,-17,4,49,256,33,3,74,0,0,0,1,0,0,0,0
1987,116,31,32,-9,44,18,391,48,3,51,0,1,0,0,0,0,0,0
2012,131,24,75,-13,44,67,206,79,8,52,0,0,0,0,0,0,0,1
2002,109,5,44,-16,11,31,162,88,4,49,0,0,0,0,1,0,0,0
2017,167,68,50,-4,6,47,262,1,3,74,0,0,1,0,0,0,0,0
1980,133,38,51,-9,12,26,264,82,3,50,0,1,0,0,0,0,0,0
2012,73,28,61,-9,9,39,214,93,4,82,0,0,0,0,0,0,1,0
1991,120,57,61,-12,16,39,385,9,3,54,1,0,0,0,0,0,0,0
1977,135,31,41,-10,7,7,653,31,4,56,1,0,0,0,0,0,0,0
2004,79,60,56,-7,38,44,210,18,3,58,0,1,0,0,0,0,0,0
1979,106,68,63,-6,85,70,197,16,4,70,0,0,0,0,1,0,0,0
1998,94,46,56,-7,21,45,270,38,2,49,0,0,0,0,0,1,0,0
